ID_POLIZA;COBERTURA;COND_GENERAL;MONTO_ASEGURADO;PRIMA_PACTADA
POL0579;DAÑOS MATERIALES;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];500.0;18.44
POL0579;RESPONSAB. CIVIL;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];1500.0;0.01
POL0579;PLAN A: MUERTE ACCID;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];200.0;0.01
POL0579;ASISTENCIA VEHICULAR;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];250.0;0.01
POL0579;ROBO.HURTO, USO NO A;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;ROBO DE ACC.HTA 10%;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;HUELGA Y TERRORISMO;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;ACTOS MALICIOSOS;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;GRANIZO/ R.DE NATURA;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;SISMO;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;D.MAT. X LA CARGA;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;R.C. POR PROP.CARGA;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;PLAN B: INCAPACIDAD;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;EXCLUSIVIDAD GARAGE;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;INDEMNIZ.0KM 24MESES;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;VDR;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];0.0;0.01
POL0579;RC DAÑO MORAL;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];1500.0;0.01
POL0579;RC LUCRO CESANTE;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];1500.0;0.01
POL0579;DEF.PENAL Y CON. FZA;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];150.0;0.01
POL0579;GASTOS MEDICOS;['P120130214', 'P120130414', 'P320130366', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130345', 'C120130344'];25.0;0.01
POL0722;DAÑOS MATERIALES;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];349.0;4.27
POL0722;R CIVIL EMERGENTE;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];300.0;1.0
POL0722;ASISTENCIA VEHICULAR;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];250.0;0.1
POL0722;ROBO, HURTO USO NO A;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];0.0;1.1
POL0722;ROBO DE ACCESORIOS;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];0.0;1.1
POL0722;DM HUELGA Y TERRORIS;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];0.0;0.1
POL0722;DM ACTOS MALICIOSOS;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];0.0;0.1
POL0722;DM GRANIZO;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];0.0;0.1
POL0722;DM POR SISMO;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];0.0;0.1
POL0722;INDEMNIZ. 0 KM;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];0.0;0.1
POL0722;AUTOREEMPLAZO15DIAS;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];0.0;0.1
POL0722;TALLER DE MARCA;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];0.0;0.1
POL0722;R CIVIL DAÑO MORAL;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];300.0;0.1
POL0722;R CIVIL LUCRO CESANT;['P120160325', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160331'];300.0;0.1
POL0774;DAÑOS MATERIALES;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];327.0;31.3
