ID_POLIZA;FANOFA_T05;MARCA;MODELO
POL0579;2020.0;SUZUKI;BALENO
POL0722;2012.0;NISSAN;SENTRA
POL0774;2015.0;HYUNDAI;ACCENT
POL0860;2018.0;MAZDA;MAZDA6 SEDAN V 6MT
POL0562;2014.0;AUDI;A3
POL0596;2013.0;NISSAN;NAVARA
POL0931;2017.0;HYUNDAI;SANTA FE
POL0286;2015.0;JAC;J6 TRIP
POL0934;2022.0;CHANGAN;CX70
POL0840;2020.0;MAZDA;MAZDA3
POL0517;2021.0;KIA MOTORS;SOLUTO
POL0649;2019.0;RENAULT;CLIO
POL0648;2008.0;TOYOTA;AVENSIS
POL0544;2016.0;SUZUKI;GRAND VITARA
POL0515;2022.0;LAND ROVER;RANGE ROVER SPORT 3.0 TDV6 HSE
POL0886;2016.0;SUBARU;FORESTER 2.0 DIESEL AWD MT X
POL0714;2013.0;NISSAN;TERRANO
POL0227;2019.0;VOLVO;"V60 ; V-60"
POL0157;2021.0;RENAULT;ARKANA
POL0278;2019.0;HONDA;CIVIC COUPE
POL0727;2016.0;MAZDA;MAZDA3
POL0414;2020.0;KIA MOTORS;MORNING
POL0878;2022.0;CHEVROLET;TRACKER 1.2T PREMIER AT
POL0283;2014.0;TOYOTA;COROLLA
POL0672;2012.0;HYUNDAI;VERACRUZ
POL0745;2014.0;HYUNDAI;SANTA FE 2.0 GL
POL0695;2022.0;CHANGAN;ALSVIN
POL0171;2018.0;RENAULT;SYMBOL
POL0533;2017.0;CHEVROLET;CRUZE
POL0038;2022.0;TOYOTA;RUSH
POL0199;2022.0;PEUGEOT;2008
POL0206;2018.0;SUZUKI;SWIFT
POL0303;2023.0;SUZUKI;SWIFT HIBRIDO
POL0203;2013.0;FIAT;500
POL0082;2018.0;TOYOTA;RAV-4
POL0908;2022.0;SUZUKI;S-PRESSO
POL0814;2022.0;KIA MOTORS;SELTOS
POL0123;2019.0;CHEVROLET;ONIX 1.4
POL0684;2017.0;CHEVROLET;PRISMA
POL0701;2013.0;"SSANGYONG ; SANGYONG";ACTYON SPORT
POL0174;2020.0;TOYOTA;AYGO
POL0397;2015.0;BMW;118I SPORT 1.6
POL0686;2016.0;NISSAN;ALTIMA 2.5 SENCE CTV
POL0514;2022.0;SUZUKI;ALTO
POL0466;2022.0;CHERY;TIGGO 8 1.5T
POL0030;2021.0;TOYOTA;COROLLA
POL0458;2010.0;VOLKSWAGEN;TIGUAN
POL0139;2022.0;MAZDA;CX-5
POL0531;2020.0;CHEVROLET;SPARK GT
POL0843;2019.0;SUZUKI;SWIFT
POL0369;2022.0;CHEVROLET;N 400 MAX
POL0831;2020.0;KIA MOTORS;MORNING
POL0693;2023.0;SUBARU;XV
POL0512;2022.0;MG;ZS
POL0637;2022.0;CHEVROLET;COBALT
POL0327;2020.0;"SSANGYONG ; SANGYONG";ACTYON SPORT
POL0694;2021.0;VOLKSWAGEN;VOYAGE 1.6 POWER
POL0913;2014.0;NISSAN;MURANO
POL0943;2012.0;MERCEDES BENZ;ML 320
POL0725;2019.0;KIA MOTORS;RIO 5
POL0470;2016.0;CHEVROLET;SPARK GT
POL0390;2018.0;KIA MOTORS;RIO 5
POL0505;2022.0;HYUNDAI;ACCENT
POL0317;2023.0;KIA MOTORS;SPORTAGE
POL0951;2022.0;HYUNDAI;VENUE
POL0966;2010.0;CHEVROLET;D-MAX
POL0058;2011.0;NISSAN;PATHFINDER 2.5 SE 4X4 AT
POL0802;2016.0;SUZUKI;SWIFT SF 416 1.6
POL0879;2010.0;TOYOTA;"4 RUNNER ; 4RUNNER"
POL0885;2017.0;SUZUKI;BALENO
POL0499;2018.0;KIA MOTORS;SPORTAGE LX DSL 2.0 MT 4X2
POL0168;2018.0;KIA MOTORS;SOUL
POL0164;2018.0;SUZUKI;SWIFT
POL0011;2022.0;MG;ZS
POL0295;2019.0;MAZDA;CX-5
POL0842;2017.0;VOLVO;V-40
POL0805;2022.0;CHEVROLET;SILVERADO LT 5.3 4WD
POL0919;2022.0;FORD;BRONCO SPORT
POL0269;2017.0;SUBARU;LEGACY
POL0004;2022.0;CHANGAN;CS15
POL0927;2015.0;VOLVO;V-40
POL0614;2022.0;SUBARU;XV
POL0753;2021.0;MG;ZS
POL0666;2015.0;SUBARU;ALL NEW OUTBACK
POL0020;2021.0;CHEVROLET;GROOVE
POL0838;2016.0;JEEP;CHEROKEE LIMITED
POL0041;2017.0;TOYOTA;COROLLA
POL0570;2022.0;FORD;TERRITORY
POL0176;2020.0;MERCEDES BENZ;AMG CLASS
POL0682;2023.0;HYUNDAI;CRETA
POL0559;2021.0;MAZDA;CX-3
POL0318;2014.0;HYUNDAI;VELOSTER
POL0235;2018.0;SUBARU;OUTBACK 2.0D AT
POL0036;2013.0;MAZDA;CX-7 2.5
POL0044;2021.0;TOYOTA;YARIS
POL0709;2021.0;GREAT WALL;WINGLE 4X2 2.8 LF
POL0149;2018.0;PEUGEOT;208
POL0340;2019.0;SUBARU;XV
POL0204;2022.0;DFSK;SUV 500
POL0799;2017.0;TOYOTA;HI-LUX
POL0250;2022.0;MG;MG 3
POL0208;2020.0;YAMAHA MOTO;
POL0223;2018.0;FORD;EXPLORER
POL0284;2018.0;MAZDA;CX-3
POL0297;2023.0;TOYOTA;COROLLA CROSS
POL0341;2018.0;VOLKSWAGEN;TIGUAN
POL0729;2021.0;PEUGEOT;PARTNER
POL0600;2016.0;MAZDA;BT-50
POL0548;2022.0;CHEVROLET;GROOVE
POL0554;2019.0;PEUGEOT;2008
POL0220;2018.0;KIA MOTORS;RIO 5
POL0460;2018.0;TOYOTA;YARIS
POL0170;2019.0;MERCEDES BENZ;A CLASS
POL0285;2017.0;FORD;EDGE
POL0221;2019.0;HYUNDAI;I20 ACTIVE
POL0013;2019.0;SUZUKI;ALTO
POL0148;2022.0;VOLKSWAGEN;TAOS
POL0617;2021.0;SUBARU;FORESTER
POL0055;2017.0;CHEVROLET;COBALT
POL0800;2017.0;HYUNDAI;TUCSON
POL0490;2017.0;NISSAN;X-TRAIL
POL0277;2016.0;TOYOTA;COROLLA
POL0555;2016.0;TOYOTA;YARIS
POL0786;2023.0;JAC;JS2
POL0832;2019.0;SUBARU;FORESTER 2.5 AT AWD XT
POL0099;2018.0;MERCEDES BENZ;GLA 220 CDI
POL0350;2014.0;BMW;SERIE 1
POL0683;2022.0;MERCEDES BENZ;C CLASS
POL0062;2021.0;VOLKSWAGEN;ATLAS
POL0294;2022.0;DFSK;SUV 500
POL0344;2020.0;HYUNDAI;GRAND I10
POL0251;2021.0;TOYOTA;RAV-4
POL0239;2019.0;RENAULT;DUSTER ZEN 1.6 MT 4X2
POL0850;2017.0;SUZUKI;ALTO
POL0944;2019.0;TOYOTA;COROLLA
POL0313;2021.0;HYUNDAI;GRAND I10 SEDAN
POL0767;2018.0;KIA MOTORS;RIO 4
POL0446;2019.0;TOYOTA;COROLLA
POL0401;2020.0;SUBARU;FORESTER
POL0654;2019.0;KIA MOTORS;MORNING
POL0737;2014.0;TOYOTA;RAV-4
POL0716;2016.0;KIA MOTORS;GRAND CARNIVAL
POL0547;2013.0;KIA MOTORS;CARENS
POL0404;2022.0;TOYOTA;RAV-4
POL0214;2011.0;CHEVROLET;CRUZE
POL0906;2012.0;HYUNDAI;I10
POL0192;2021.0;BMW;SERIE 1
POL0981;2020.0;TOYOTA;RAV-4
POL0975;2017.0;CHEVROLET;TRACKER
POL0545;2016.0;FORD;F-150
POL0015;2023.0;MG;RX5
POL0560;2019.0;CHEVROLET;COLORADO
POL0785;2014.0;MAZDA;CX-5
POL0455;2018.0;PEUGEOT;3008
POL0424;2010.0;FORD;EDGE
POL0468;2017.0;NISSAN;MARCH
POL0043;2016.0;"SSANGYONG ; SANGYONG";ACTYON SPORT
POL0222;2022.0;MAZDA;CX-5
POL0759;2011.0;MERCEDES BENZ;E 500
POL0014;2023.0;FORD;TERRITORY
POL0433;2022.0;HONDA;HR-V
POL0260;2016.0;NISSAN;VERSA
POL0415;2020.0;SUBARU;XV
POL0527;2022.0;HYUNDAI;I20
POL0270;2022.0;CITROEN;BERLINGO
POL0861;2011.0;NISSAN;TERRANO
POL0918;2023.0;FORD;EXPLORER ST
POL0273;2023.0;CHEVROLET;GROOVE PREMIER
POL0125;2020.0;TOYOTA;YARIS SPORT
POL0409;2021.0;NISSAN;VERSA
POL0129;2016.0;SUZUKI;GRAND VITARA 2.4 AT GLX SPORT
POL0935;2023.0;HYUNDAI;GRAND I10
POL0067;2019.0;SUZUKI;SWIFT 1.2 GL AC
POL0056;2013.0;MITSUBISHI;MONTERO 3.2
POL0552;2022.0;KIA MOTORS;MORNING
POL0008;2013.0;MAZDA;CX-5
POL0054;2019.0;HYUNDAI;SANTA FE
POL0578;2022.0;MG;ZS
POL0710;2021.0;NISSAN;NAVARA
POL0707;2022.0;TOYOTA;RAV-4
POL0437;2020.0;CHEVROLET;ONIX
POL0410;2019.0;HYUNDAI;TUCSON 2.0
POL0524;2017.0;SKODA;YETI
POL0205;2019.0;KIA MOTORS;SPORTAGE
POL0289;2019.0;RENAULT;CLIO
POL0772;2010.0;MAZDA;MAZDA6
POL0351;2018.0;SUZUKI;BALENO
POL0920;2019.0;PEUGEOT;3008
POL0179;2017.0;MAZDA;MAZDA3 MT 1.6
POL0987;2021.0;KIA MOTORS;RIO 4
POL0915;2021.0;NISSAN;QASHQAI
POL0049;2018.0;CHEVROLET;TRACKER
POL0116;2017.0;SUBARU;OUTBACK
POL0098;2021.0;NISSAN;VERSA
POL0543;2019.0;PEUGEOT;301
POL0638;2022.0;HYUNDAI;ATOS
POL0954;2014.0;HYUNDAI;SANTA FE
POL0496;2017.0;HYUNDAI;GRAND I10 1.0 GL
POL0142;2018.0;NISSAN;KICKS
POL0754;2017.0;MITSUBISHI;OUTLANDER 2.4 GLX 4X4
POL0389;2020.0;VOLKSWAGEN;TIGUAN
POL0101;2012.0;SUZUKI;GRAND NOMADE
POL0556;2017.0;SUZUKI;SWIFT 1.3 GL
POL0928;2018.0;MAZDA;CX-5
POL0388;2021.0;HYUNDAI;VENUE
POL0072;2021.0;CHEVROLET;SAIL
POL0160;2021.0;SUZUKI;BALENO
POL0073;2023.0;MG;GT
POL0892;2017.0;KIA MOTORS;RIO 4
POL0150;2022.0;RENAULT;DUSTER
POL0909;2021.0;HYUNDAI;I20
POL0869;2022.0;SUZUKI;SWIFT
POL0083;2018.0;SUZUKI;SWIFT
POL0715;2019.0;NISSAN;X-TRAIL
POL0661;2013.0;HYUNDAI;I10
POL0992;2016.0;CHEVROLET;CAPTIVA
POL0088;2017.0;MERCEDES BENZ;A 200 CDI AT
POL0698;2023.0;HAVAL;JOLION
POL0264;2021.0;NISSAN;VERSA
POL0337;2013.0;SUZUKI;SX4
POL0787;2022.0;SUZUKI;S-PRESSO
POL0319;2018.0;MITSUBISHI;MONTERO SPORT
POL0728;2008.0;CHRYSLER;CARAVAN
POL0979;2011.0;JEEP;COMPASS
POL0224;2015.0;SUZUKI;SWIFT
POL0917;2019.0;TOYOTA;RAV-4
POL0373;2019.0;SUBARU;OUTBACK
POL0741;2021.0;KIA MOTORS;RIO 5
POL0305;2021.0;MAZDA;CX-5
POL0789;2015.0;DODGE;JOURNEY
POL0647;2022.0;FORD;TERRITORY
POL0589;2019.0;CHEVROLET;SAIL
POL0126;2022.0;KIA MOTORS;SELTOS
POL0263;2012.0;LAND ROVER;DISCOVERY 4.0 V-8
POL0253;2022.0;CITROEN;C4 1.6 16V HDI
POL0353;2021.0;JEEP;"GRAN CHEROKEE ; GRAND CHEROKEE"
POL0152;2019.0;VOLKSWAGEN;TOUAREG
POL0968;2018.0;RENAULT;ALASKAN
POL0642;2015.0;HYUNDAI;I10
POL0233;2022.0;SUBARU;XV
POL0720;2022.0;HYUNDAI;CRETA
POL0421;2022.0;CHEVROLET;TRACKER 1.8 FWD LS MT
POL0074;2017.0;SUZUKI;BALENO
POL0871;2021.0;NISSAN;QASHQAI
POL0212;2019.0;BMW;X4
POL0804;2018.0;BMW;X5
POL0368;2022.0;CHERY;ARRIZO 5
POL0546;2022.0;SUBARU;FORESTER
POL0778;2021.0;TOYOTA;FORTUNER
POL0094;2020.0;TOYOTA;RUSH 1.5
POL0678;2022.0;MAZDA;CX-5 R 2.0 MT
POL0068;2022.0;HONDA;RIDGELINE 3.5 RT AT
POL0803;2014.0;KIA MOTORS;SPORTAGE
POL0960;2019.0;MITSUBISHI;OUTLANDER
POL0347;2021.0;MITSUBISHI;MONTERO SPORT
POL0365;2019.0;MERCEDES BENZ;"C 200 K ; C 200"
POL0200;2021.0;CHERY;TIGGO 2
POL0405;2022.0;GREAT WALL;POER 2.0
POL0961;2019.0;ALFA ROMEO;STELVIO
POL0643;2022.0;CHANGAN;CX70
POL0959;2020.0;SUZUKI;"VITARA 1.6 AT LIMITED AWD ; VITARA 1.6 LIMITED AT AWD"
POL0794;2016.0;"SSANGYONG ; SANGYONG";ACTYON SPORT FULL 2.0
POL0453;2022.0;TOYOTA;COROLLA CROSS HIBRIDO
