ID_SINIESTRO;ID_POLIZA;COBERTURA_AFECTADA;PROVISION_INICIAL;GASTO_REAL
SIN0000;POL0579;DAÑOS MATERIALES;55.0;109.63
SIN0001;POL0722;DAÑOS MATERIALES;20.0;6.69
SIN0002;POL0774;DAÑOS MATERIALES;20.0;28.02
SIN0003;POL0860;DAÑOS MATERIALES;22.34;1.79
SIN0004;POL0562;DAÑOS MATERIALES;20.0;32.88
SIN0005;POL0596;DAÑOS MATERIALES;20.0;48.59
SIN0006;POL0931;DAÑOS MATERIALES;32.0;15.73
SIN0007;POL0286;DAÑOS MATERIALES;42.92;166.36
SIN0008;POL0934;DAÑOS MATERIALES;20.0;36.88
SIN0009;POL0840;DAÑOS MATERIALES;11.65;22.44
SIN0010;POL0517;DAÑOS MATERIALES;32.0;9.77
SIN0011;POL0649;ROBO DE ACC.HTA 10%;22.66;19.68
SIN0012;POL0648;DAÑOS MATERIALES;32.0;35.39
SIN0013;POL0544;DAÑOS MATERIALES;46.14;340.95
SIN0014;POL0515;R CIVIL EMERGENTE;55.0;108.22
SIN0015;POL0886;ACTOS MALICIOSOS;55.0;10.35
SIN0016;POL0714;ROBO DE ACC.HTA 10%;470.0;0.38
SIN0017;POL0227;R CIVIL EMERGENTE;20.0;13.79
SIN0018;POL0157;DAÑOS MATERIALES;20.0;28.92
SIN0019;POL0278;DAÑOS MATERIALES;20.0;27.59
SIN0020;POL0727;DAÑOS MATERIALES;32.0;49.69
SIN0021;POL0414;RESPONSAB. CIVIL;32.0;2.0
SIN0022;POL0878;DAÑOS MATERIALES;55.0;45.0
SIN0023;POL0283;DAÑOS MATERIALES;32.0;21.52
SIN0024;POL0672;RESPONSAB. CIVIL;20.0;1.35
SIN0024;POL0672;DAÑOS MATERIALES;20.0;13.1
SIN0025;POL0745;DAÑOS MATERIALES;32.0;10.64
SIN0026;POL0695;DAÑOS MATERIALES;32.0;22.3
SIN0027;POL0171;DAÑOS MATERIALES;22.0;55.39
SIN0028;POL0533;DAÑOS MATERIALES;32.0;58.8
SIN0029;POL0038;DAÑOS MATERIALES;20.0;11.9
SIN0030;POL0199;DAÑOS MATERIALES;32.0;13.7
SIN0031;POL0206;DAÑOS MATERIALES;28.38;57.98
SIN0032;POL0303;R CIVIL EMERGENTE;32.0;1.05
SIN0033;POL0203;DAÑOS MATERIALES;32.0;29.33
SIN0034;POL0082;DAÑOS MATERIALES;14.0;9.59
SIN0035;POL0908;DAÑOS MATERIALES ANS;18.72;42.38
SIN0036;POL0814;DAÑOS MATERIALES;11.9;10.0
SIN0037;POL0123;RESPONSAB. CIVIL;32.0;0.37
SIN0037;POL0123;DAÑOS MATERIALES;32.0;9.96
SIN0038;POL0684;RESPONSAB. CIVIL;55.0;0.0
SIN0039;POL0701;ROBO, HURTO USO NO A;470.0;270.28
SIN0040;POL0174;DAÑOS MATERIALES;55.0;234.67
SIN0041;POL0397;DAÑOS MATERIALES;11.65;9.93
SIN0042;POL0686;DAÑOS MATERIALES;55.0;384.66
SIN0043;POL0514;ROBO DE ACC.HTA 10%;32.0;34.44
SIN0044;POL0466;DAÑOS MATERIALES;20.0;17.19
SIN0045;POL0030;DAÑOS MATERIALES;15.0;15.52
SIN0046;POL0458;DAÑOS MATERIALES;32.0;29.78
SIN0047;POL0139;DAÑOS MATERIALES;470.0;59.47
SIN0048;POL0531;ACTOS MALICIOSOS;32.0;30.2
SIN0049;POL0843;DAÑOS MATERIALES;20.0;42.19
SIN0050;POL0369;RESPONSAB. CIVIL;20.0;8.23
SIN0051;POL0831;DAÑOS MATERIALES;55.0;222.03
SIN0052;POL0693;DAÑOS MATERIALES;20.0;5.8
SIN0053;POL0512;R CIVIL EMERGENTE;22.34;12.16
SIN0054;POL0637;DAÑOS MATERIALES;32.0;16.32
SIN0055;POL0327;DAÑOS MATERIALES;11.9;8.16
SIN0056;POL0694;DAÑOS MATERIALES;20.0;23.22
SIN0057;POL0913;DAÑOS MATERIALES;55.0;13.34
SIN0058;POL0943;DAÑOS MATERIALES;14.81;25.53
SIN0059;POL0725;DAÑOS MATERIALES;18.27;316.13
SIN0060;POL0470;R CIVIL EMERGENTE;22.0;0.31
SIN0061;POL0390;DAÑOS MATERIALES;32.0;102.87
SIN0062;POL0505;DAÑOS MATERIALES;55.0;45.61
SIN0063;POL0317;DAÑOS MATERIALES;32.0;51.25
SIN0064;POL0951;DAÑOS MATERIALES;5.68;9.7
SIN0065;POL0966;R CIVIL EMERGENTE;55.0;79.62
SIN0066;POL0058;DAÑOS MATERIALES;44.48;56.57
SIN0067;POL0802;RESPONSAB. CIVIL;22.34;1.06
SIN0068;POL0879;DAÑOS MATERIALES;55.0;11.54
SIN0069;POL0885;DAÑOS MATERIALES;55.0;20.21
